# ══════════════════════════════════════════════════════════════════════════════
# adv0203 — Two Philosophers Walk Into a Study · Chapter 03: The Annotated Page
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	de

@chapter	03	The Annotated Page	Die kommentierte Seite	A2
@artifact	🖋️	An Ink-Stained Page	Präteritum · Indirekte Fragen · weil/obwohl

@story_intro	Schopenhauer wakes to a troubling discovery: someone has written critical notes in the margins of his manuscript overnight. No one admits to it. A young, eager visitor named Friedrich Nietzsche arrives just in time to help investigate.	Schopenhauer wacht zu einer beunruhigenden Entdeckung auf: Jemand hat über Nacht kritische Notizen an den Rand seines Manuskripts geschrieben. Niemand gibt es zu. Ein junger, eifriger Besucher namens Friedrich Nietzsche kommt gerade rechtzeitig an, um bei der Untersuchung zu helfen.
@story_outro	By evening, the mystery remains unsolved. Schopenhauer has a list of suspects, a strange clue involving ink and paw prints, and a new admirer determined to help him find the truth — whatever the truth turns out to be.	Bis zum Abend bleibt das Rätsel ungelöst. Schopenhauer hat eine Liste von Verdächtigen, einen seltsamen Hinweis mit Tinte und Pfotenabdrücken, und einen neuen Bewunderer, der entschlossen ist, ihm zu helfen, die Wahrheit zu finden — was auch immer die Wahrheit sein mag.


# ── Monologue 1: A Troubling Discovery ───────────────────────────────────────
@section	01	A Troubling Discovery	Eine beunruhigende Entdeckung
@vocab	entdecken	der Rand	schreiben	die Tinte	gestern	heute Morgen	überrascht	wütend	der Verdacht	wer	warum	verstehen

adv020301-01	narrator		Schopenhauer sits at his desk with his manuscript. Something is wrong.	Schopenhauer sitzt an seinem Schreibtisch mit seinem Manuskript. Etwas ist falsch.
adv020301-02	schopenhauer		What is this? There are notes in the margin. Small, careful handwriting.	Was ist das? Da sind Notizen am Rand. Kleine, sorgfältige Handschrift.
adv020301-03	schopenhauer		"This claim assumes what it should prove." Someone wrote this. In MY manuscript!	„Diese Behauptung setzt voraus, was sie beweisen sollte." Jemand hat das geschrieben. In MEINEM Manuskript!
adv020301-04	schopenhauer		I did not write this. I would remember writing this. The handwriting is not mine.	Ich habe das nicht geschrieben. Ich würde mich erinnern, das geschrieben zu haben. Die Handschrift ist nicht meine.
adv020301-05	schopenhauer		Yesterday evening, I left the manuscript here, on the desk. I went to bed at eleven o'clock.	Gestern Abend habe ich das Manuskript hier auf dem Schreibtisch gelassen. Ich bin um elf Uhr ins Bett gegangen.
adv020301-06	schopenhauer		This morning, these notes are here. Someone was in my study during the night.	Heute Morgen sind diese Notizen hier. Jemand war während der Nacht in meinem Arbeitszimmer.
adv020301-07	schopenhauer		There are five more notes like this, on different pages. All of them disagree with my arguments. Cleverly, I must admit.	Es gibt fünf weitere solche Notizen, auf verschiedenen Seiten. Sie alle widersprechen meinen Argumenten. Klug, das muss ich zugeben.
adv020301-08	schopenhauer		Was it Kant? No, he left two days ago, for Königsberg.	War es Kant? Nein, er ist vor zwei Tagen nach Königsberg abgereist.
adv020301-09	schopenhauer		Was it Hegel? Possible. He stayed for dinner that night. But would he sneak around like this?	War es Hegel? Möglich. Er ist an jenem Abend zum Essen geblieben. Aber würde er sich so herumschleichen?
adv020301-10	schopenhauer		I notice something else. There is a small black mark near one note. Is that... an ink stain? Or something else?	Ich bemerke noch etwas. Da ist ein kleiner schwarzer Fleck in der Nähe einer Notiz. Ist das... ein Tintenfleck? Oder etwas anderes?
adv020301-11	narrator		He looks closer. The mark looks oddly like a small paw print.	Er schaut genauer hin. Der Fleck sieht seltsam wie ein kleiner Pfotenabdruck aus.
adv020301-12	schopenhauer		A paw print? That makes no sense. Unless... no. That is impossible.	Ein Pfotenabdruck? Das macht keinen Sinn. Außer... nein. Das ist unmöglich.
adv020301-13	schopenhauer		I will find out who did this. I will ask everyone who was here recently.	Ich werde herausfinden, wer das gemacht hat. Ich werde jeden fragen, der vor kurzem hier war.
adv020301-14	narrator		There is a knock at the door. Schopenhauer puts the manuscript away quickly.	Es klopft an der Tür. Schopenhauer legt das Manuskript schnell weg.

adv020301-15q	question		What strange mark does Schopenhauer find near one of the notes?	Was für einen seltsamen Fleck findet Schopenhauer in der Nähe einer der Notizen?
adv020301-16a	option	correct	Something that looks like a paw print.	Etwas, das wie ein Pfotenabdruck aussieht.
adv020301-17b	option		A torn piece of paper.	Ein abgerissenes Stück Papier.
adv020301-17c	option		A drawing of an owl.	Eine Zeichnung einer Eule.


# ── Dialogue 1: A New Visitor ──────────────────────────────────────────────
@section	02	A New Visitor	Ein neuer Besucher
@vocab	jung	bewundern	der Schüler	lesen	beeinflussen	der Lehrer	vorstellen	höflich	begeistert	das Werk	die Philosophie	kennenlernen

adv020401-01	narrator		Schopenhauer opens the door. A young man stands there, looking nervous and excited.	Schopenhauer öffnet die Tür. Ein junger Mann steht da, sieht nervös und aufgeregt aus.
adv020401-02	nietzsche		Herr Schopenhauer! Forgive my visit without warning. My name is Friedrich Nietzsche.	Herr Schopenhauer! Verzeihen Sie meinen unangemeldeten Besuch. Mein Name ist Friedrich Nietzsche.
adv020401-03	schopenhauer		Nietzsche. I do not believe we have met before.	Nietzsche. Ich glaube, wir haben uns noch nicht getroffen.
adv020401-04	nietzsche		No, we have not. But I have read "Die Welt als Wille und Vorstellung" perhaps ten times. Your book changed how I think completely.	Nein, das haben wir nicht. Aber ich habe „Die Welt als Wille und Vorstellung" wohl zehnmal gelesen. Ihr Buch hat mein Denken völlig verändert.
adv020401-05	schopenhauer		Ten times? That is either great dedication or a serious problem with your free time.	Zehnmal? Das ist entweder große Hingabe oder ein ernstes Problem mit Ihrer Freizeit.
adv020401-06	nietzsche		Perhaps both! I am a student of philology, but your philosophy taught me more than my professors ever did.	Vielleicht beides! Ich bin Student der Philologie, aber Ihre Philosophie hat mir mehr gelehrt als meine Professoren je taten.
adv020401-07	schopenhauer		Please, come in. Though I must warn you, I am somewhat distracted this morning.	Bitte, kommen Sie herein. Obwohl ich Sie warnen muss, ich bin heute Morgen etwas abgelenkt.
