# ══════════════════════════════════════════════════════════════════════════════
# adv0202 — Two Philosophers Walk Into a Study · Chapter 02: The Owl of Minerva
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	de

@chapter	02	The Owl of Minerva	Die Eule der Minerva	A2
@artifact	🦉	A Small Owl Figurine	Komparativ · Superlativ · Relativsätze

@story_intro	The next morning. Schopenhauer is still drinking his coffee when there is a knock at the door — much earlier than expected. A third philosopher has arrived, and he has strong opinions about almost everything.	Am nächsten Morgen. Schopenhauer trinkt noch seinen Kaffee, als es an der Tür klopft — viel früher als erwartet. Ein dritter Philosoph ist angekommen, und er hat zu fast allem eine starke Meinung.
@story_outro	Kant has gone home to Königsberg. Schopenhauer and Hegel remain — two men who agree on almost nothing, sharing one small study and a great deal of stubbornness. The owl figurine watches them both, saying nothing.	Kant ist nach Königsberg zurückgereist. Schopenhauer und Hegel bleiben — zwei Männer, die sich über fast nichts einig sind, in einem kleinen Arbeitszimmer und mit sehr viel Hartnäckigkeit. Die Eulenfigur beobachtet beide, ohne etwas zu sagen.


# ── Dialogue 1: An Early Visitor ──────────────────────────────────────────────
@section	01	An Early Visitor	Ein früher Besucher
@vocab	früh	klopfen	überraschen	der Besucher	vorstellen	bekannt	der Professor	die Universität	Berlin	wichtig	denken über

adv020201-01	narrator		It is early morning. Schopenhauer is drinking coffee when there is a loud knock at the door.	Es ist früher Morgen. Schopenhauer trinkt Kaffee, als es laut an der Tür klopft.
adv020201-02	schopenhauer		Already? It is barely eight o'clock. Who could that be?	Schon? Es ist kaum acht Uhr. Wer könnte das sein?
adv020201-03	narrator		He opens the door. A confident-looking man in fine clothes stands there.	Er öffnet die Tür. Ein selbstbewusst aussehender Mann in feiner Kleidung steht da.
adv020201-04	hegel		Good morning. I am Georg Wilhelm Friedrich Hegel, professor in Berlin. I believe you know my work.	Guten Morgen. Ich bin Georg Wilhelm Friedrich Hegel, Professor in Berlin. Ich glaube, Sie kennen meine Arbeit.
adv020201-05	schopenhauer		Hegel. Yes. I know your work very well.	Hegel. Ja. Ich kenne Ihre Arbeit sehr gut.
adv020201-06	narrator		Schopenhauer's face does not look especially happy. But he opens the door wider.	Schopenhauers Gesicht sieht nicht besonders glücklich aus. Aber er öffnet die Tür weiter.
adv020201-07	schopenhauer		Please, come in. I have a guest already — Herr Kant from Königsberg.	Bitte, kommen Sie herein. Ich habe schon einen Gast — Herr Kant aus Königsberg.
adv020201-08	hegel		Kant! Even better. I have many thoughts about his philosophy too.	Kant! Noch besser. Ich habe auch viele Gedanken über seine Philosophie.
adv020201-09	narrator		Kant comes into the hallway, surprised to see a third person.	Kant kommt in den Flur, überrascht, eine dritte Person zu sehen.
adv020201-10	kant		Herr Hegel. We have not met, but I have read some of your newer writings.	Herr Hegel. Wir haben uns nicht getroffen, aber ich habe einige Ihrer neueren Schriften gelesen.
