# ══════════════════════════════════════════════════════════════════════════════
# adv0102 — The Crystal of Light · Chapter 02: First Mission
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	zh	ja	de	es

@chapter	02	First Mission	第一个任务	最初のミッション	Erste Mission	Primera misión	N5
@artifact	🕐	Bronze Clock	Present · Past · Negative · Verbs

@story_intro	The first mission has arrived from the guild. You must go to a nearby village. Something is happening there.	公会的第一个任务来了。你必须去附近的村子。那里发生了一些事情。	ギルドから最初のミッションが来た。近くの村に行かなければならない。何かが村で起きている。	Der erste Auftrag der Gilde ist angekommen. Du musst in ein nahes Dorf gehen. Dort passiert etwas.	Ha llegado la primera misión del gremio. Debes ir a un pueblo cercano. Allí está pasando algo.
@story_outro	The mission is complete. The villagers are relieved. But the mystery of the crystal remains unsolved.	任务完成了。村民们松了口气。但水晶的谜题仍未解决。	ミッションを終えた。村の人たちは安心した。でも、クリスタルのことはまだわからない。	Die Mission ist abgeschlossen. Die Dorfbewohner sind erleichtert. Aber das Rätsel des Kristalls bleibt ungelöst.	La misión está completada. Los aldeanos están aliviados. Pero el misterio del cristal sigue sin resolverse.


# ── Section 1: The Mission Scroll ────────────────────────────────────────────
@section	01	The Mission Scroll	任务卷轴	ミッションの巻物	Die Missionsrolle	El pergamino de la misión
@vocab	いく	くる	たべる	のむ	みる	きく　はなす	よむ	かく	まいにち	いま	きのう	きょう	あした	なんじ

@passage	01	The Mission Scroll	任务卷轴	ミッションの巻物	Die Missionsrolle	El pergamino de la misión

@passage_line	MISSION SCROLL	任务卷轴	ミッションの巻物	MISSIONSROLLE	PERGAMINO DE MISIÓN
@passage_line	From: Guild Master Leon	来自：公会长里昂	差出人：ギルドマスター レオン	Von: Gildenmeister Leon	De: Maestro del gremio León
@passage_line	To: Alex and Emma, Apprentice Adventurers	致：阿历克斯和艾玛，见习冒险者	宛先：アレックスとエマ、見習い冒険者	An: Alex und Emma, Lehrlings-Abenteurer	Para: Alex y Emma, aventureros aprendices
@passage_line	Mission: River Village	任务：河边村	ミッション：川の村	Mission: Flussdorf	Misión: Pueblo del Río
@passage_line	Please go to River Village.	请去河边村。	川の村に行ってください。	Bitte geht nach Flussdorf.	Por favor, id al Pueblo del Río.
@passage_line	The village is two hours from Stonehaven.	这个村子离石港镇两个小时路程。	村はストーンヘイブンから二時間です。	Das Dorf ist zwei Stunden von Stonehaven entfernt.	El pueblo está a dos horas de Stonehaven.
